name,number,rarity,url,name_detail,element,hp,defense,crafting_speed,melee_attack,shot_attack,price,stamina,support,running_speed,sprinting_speed,slow_walk_speed,work_suitability,partner_skill,passive_skills,active_skills,possible_drops
Anubis,100,Epic,https://palworld.gg/pal/anubis,Anubis,Earth,120,100,100,130,130,4960,100,100,800,1000,80,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork (Lv); Mining (Lv); Farming; Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering,"Guardian of the Desert
While fighting together, changes the player's attack type to COMMON_ELEMENT_NAME_Earth.
Sometimes dodges attacks with a high speed sidestep while in battle.","Earth Emperor
Rank 3
20% increase in Earth attack damage.","Stone Blast
- Lv 1
Power:
55
Cooldown:
10
Range:
500 - 4000
Fires a barrage of stones forward.
Power Bomb
- Lv 7
Power:
70
Cooldown:
15
Range:
1000 - 9999
Charges a massive amount of energy
before firing a large destructive ball.
Sand Tornado
- Lv 15
Power:
80
Cooldown:
18
Range:
100 - 3000
Generates two sand tornadoes on either side
before launching them at an enemy.
Spinning Roundhouse
- Lv 22
Power:
100
Cooldown:
21
Range:
0 - 300
Anubis' exclusive skill.
Performs a spin kick with its strong legs, sweeping enemies over a wide area.
Forceful Charge
- Lv 30
Power:
120
Cooldown:
28
Range:
1500 - 5000
Anubis' exclusive skill.
Rapidly pursues its foes while releasing energy
and unleashing a powerful punch.
Ground Smash
- Lv 40
Power:
140
Cooldown:
35
Range:
0 - 5000
Anubis' exclusive skill.
Leaps high into the air and strikes a punch to the ground, 
causing a shockwave that deals damge over a wide area.
Rock Lance
- Lv 50
Power:
150
Cooldown:
55
Range:
100 - 9999
Generates a sharp rock spear
under an enemy.",(hover over item to see description) Item Amount Rate Bone 3 - 5 100% Large Pal Soul 1 - 1 100% Innovative Technical Manual 1 - 1 5%
Arsox,42,Common,https://palworld.gg/pal/arsox,Arsox,Fire,85,95,100,100,95,3520,120,100,700,1050,87,Gathering; Cooling; Deforesting (Lv); Kindling (Lv); Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Warm Body
Can be ridden.
Keeps the rider warm in cold environments.",,"Ignis Blast
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a ball of fire 
straight at an enemy.
Blazing Horn
- Lv 7
Power:
50
Cooldown:
9
Range:
1000 - 2500
FlameBuffalo's exclusive skill.
Takes aim and charges with fierce momentum while raising its horn.
Spirit Fire
- Lv 15
Power:
45
Cooldown:
7
Range:
1000 - 3000
Shoots fireballs towards an enemy. 
The fireballs explode after a short distance, 
generating smaller fireballs that spread forward.
Flare Arrow
- Lv 22
Power:
55
Cooldown:
10
Range:
500 - 5000
Fires three flaming arrows in succession
that home in on an enemy.
Ignis Breath
- Lv 30
Power:
70
Cooldown:
15
Range:
500 - 1500
Shoots flames at an enemy,
dealing continuous damage.
Ignis Rage
- Lv 40
Power:
120
Cooldown:
40
Range:
100 - 1000
Infuses the surrounding ground with energy, 
causing it to explode after a set amount of time.
Fire Ball
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 9999
Creates a giant ball of flame and hurls it at an enemy.
The ball explodes over a wide area upon impact.",(hover over item to see description) Item Amount Rate Horn 1 - 1 100% Flame Organ 2 - 3 100%
Astegon,98,Epic,https://palworld.gg/pal/astegon,Astegon,Dark,100,125,100,100,125,8200,300,100,700,1100,100,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork (Lv); Mining (Lv); Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Black Ankylosaur
Can be ridden as a flying mount.
Increases the damage dealt to ores, and you can obtain more CopperOre while mounted.","Hard Skin
Rank 1","Dragon Cannon
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 4000
Hurls an energy ball imbued
with draconic energy at an enemy.
Spirit Flame
- Lv 7
Power:
75
Cooldown:
16
Range:
500 - 5000
Fires three balls of malice
that relentlessly pursue an enemy.
Dragon Burst
- Lv 15
Power:
55
Cooldown:
10
Range:
0 - 200
Quickly discharges draconic energy,
damaging those around it.
Nightmare Ball
- Lv 22
Power:
100
Cooldown:
30
Range:
1000 - 9999
Creates a giant ball of darkness
and hurls it at an enemy.
Draconic Breath
- Lv 30
Power:
70
Cooldown:
15
Range:
500 - 1500
Exhales breath imbued with draconic energy,
dealing continuous damage to those in front of it.
Firefist Breathstorm
- Lv 35
Power:
130
Cooldown:
30
Range:
0 - 1000
BlackMetalDragon's exclusive skill.
After throwing two punches forward, it exhales a dragon breath downward.
Dark Laser
- Lv 40
Power:
150
Cooldown:
55
Range:
500 - 1800
Charges dark energy before
blasting enemies with a powerful beam.
Dragon Meteor
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 5000
Summons numerous small meteorites
and launches them at an enemy.",(hover over item to see description) Item Amount Rate Pal Metal Ingot 1 - 2 100% Pure Quartz 3 - 5 100%
Azurmane,136,Rare,https://palworld.gg/pal/azurmane,Azurmane,Electricity,130,110,100,100,120,6680,220,100,900,1260,90,Gathering (Lv); Cooling; Deforesting; Kindling; Generating Electricity (Lv); Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Plasma Dash
Can be ridden.
Also allows dashing in the air and moving at high speed.",,"Spark Blast
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Releases lightning orbs in a fan shape, 
spreading as they travel.
Shockwave
- Lv 7
Power:
40
Cooldown:
4
Range:
0 - 300
Quickly discharges electricity,
shocking those around it.
Lightning Streak
- Lv 15
Power:
75
Cooldown:
16
Range:
500 - 2000
Generates a lightning bolt 
that moves forward in a line.
TriSpark
- Lv 22
Power:
110
Cooldown:
35
Range:
300 - 3000
A high-speed lightning ball that flies in a straight line.
Simultaneously fires slow lightning balls that track the enemy.
All Range Thunder
- Lv 30
Power:
125
Cooldown:
40
Range:
0 - 2000
Generates lightning strikes that travel 
in a straight line in all directions.
- Lv 40
Power:
200
Cooldown:
60
Range:
500 - 3000
Charge the power of lightning to the limit
and fires multiple simultaneous electric shocks at the enemy.
Bolt Blink
- Lv 50
Power:
200
Cooldown:
45
Range:
0 - 5000
BlueThunderHorse's exclusive skill.
Moves with the speed of lightning, engulfing everything in its path.",(hover over item to see description) Item Amount Rate Electric Organ 2 - 3 100%
Azurobe,82,Rare,https://palworld.gg/pal/azurobe,Azurobe,Dragon,110,100,100,70,100,5600,160,100,600,900,75,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering (Lv),"Waterwing Dance
Can be ridden to travel on water.
Changes the player's attack type to COMMON_ELEMENT_NAME_Water while mounted.",,"Aqua Gun
- Lv 1
Power:
40
Cooldown:
4
Range:
500 - 5000
Hurls a ball of water
straight at an enemy.
Dragon Cannon
- Lv 7
Power:
30
Cooldown:
2
Range:
500 - 4000
Hurls an energy ball imbued
with draconic energy at an enemy.
Bubble Blast
- Lv 15
Power:
65
Cooldown:
13
Range:
1000 - 3500
Fires numerous bubbles
that slowly pursue an enemy.
Dragon Burst
- Lv 22
Power:
55
Cooldown:
10
Range:
0 - 200
Quickly discharges draconic energy,
damaging those around it.
Draconic Breath
- Lv 30
Power:
70
Cooldown:
15
Range:
500 - 1500
Exhales breath imbued with draconic energy,
dealing continuous damage to those in front of it.
Hydro Laser
- Lv 40
Power:
150
Cooldown:
55
Range:
500 - 1800
Shoots pressurized water at extreme velocities,
sweeping over a wide area in front of it.
Dragon Meteor
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 5000
Summons numerous small meteorites
and launches them at an enemy.",(hover over item to see description) Item Amount Rate Cloth 1 - 3 100%
Azurobe Cryst,82,Epic,https://palworld.gg/pal/azurobe-cryst,Azurobe Cryst,Ice,115,105,100,100,105,6720,160,100,600,900,75,Gathering; Cooling (Lv); Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Icewing Dance
Can be ridden to travel on water. 
Changes the player's attack type to COMMON_ELEMENT_NAME_Ice while mounted.",,"Ice Missile
- Lv 1
Power:
30
Cooldown:
3
Range:
800 - 3000
Creates ice lances in the air
that fly towards enemies.
Dragon Burst
- Lv 7
Power:
55
Cooldown:
10
Range:
0 - 200
Quickly discharges draconic energy,
damaging those around it.
Iceberg
- Lv 15
Power:
70
Cooldown:
15
Range:
100 - 9999
Summons a sharp ice lance
under an enemy.
Draconic Breath
- Lv 22
Power:
70
Cooldown:
15
Range:
500 - 1500
Exhales breath imbued with draconic energy,
dealing continuous damage to those in front of it.
Crystal Breath
- Lv 30
Power:
90
Cooldown:
22
Range:
100 - 1000
Enshrouds an enemy in a frigid blast of air,
dealing continuous damage.
Charge Cannon
- Lv 40
Power:
140
Cooldown:
50
Range:
0 - 4000
Fires an energy orb infused with draconic power at the enemy. 
The orb causes a wide-area explosion upon impact.
Diamond Rain
- Lv 50
Power:
160
Cooldown:
60
Range:
0 - 9999
Creates numerous lumps of ice that are
consecutively dropped on a foe's head.",(hover over item to see description) Item Amount Rate Cloth 1 - 3 100% Pal Fluids 1 - 2 100% Ice Organ 1 - 3 100%
Bastigor,137,Epic,https://palworld.gg/pal/bastigor,Bastigor,Ice,140,120,100,100,130,9020,270,100,750,1100,120,Gathering; Cooling (Lv); Deforesting (Lv); Kindling; Generating Electricity; Handiwork; Mining (Lv); Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Blizzard Crash
Can be ridden.
While mounted, delivers crushing blows with a COMMON_ELEMENT_NAME_Ice-forged hammer.",,"Stone Cannon
- Lv 1
Power:
70
Cooldown:
15
Range:
500 - 2500
Digs up a boulder
and hurls it at an enemy.
Iceberg
- Lv 7
Power:
70
Cooldown:
15
Range:
100 - 9999
Summons a sharp ice lance
under an enemy.
Crystal Breath
- Lv 15
Power:
90
Cooldown:
22
Range:
100 - 1000
Enshrouds an enemy in a frigid blast of air,
dealing continuous damage.
Frost Talon
- Lv 22
Power:
95
Cooldown:
17
Range:
0 - 1200
SnowTigerBeastman's exclusive skill.
Stomps the ground, creating a fissure of ice ahead. 
Then, rapidly closes the distance and slashes with the right hand.
Rockburst
- Lv 30
Power:
130
Cooldown:
35
Range:
0 - 1200
Causes the ground to shake before hurling a massive stone mass at its surroundings.
Stone Beat
- Lv 40
Power:
170
Cooldown:
60
Range:
0 - 5000
Shakes the ground and lifts a massive boulder into the air.
Diamond Rain
- Lv 50
Power:
160
Cooldown:
60
Range:
0 - 9999
Creates numerous lumps of ice that are
consecutively dropped on a foe's head.
Glacial Impact
- Lv 55
Power:
190
Cooldown:
52
Range:
0 - 3000
SnowTigerBeastman's exclusive skill.
Let out a mighty roar and leap into the air. Then, embed both arms into the ground to create a massive ice crack. 
Continue to channel power into the ground, ultimately causing a large explosion of ice energy",(hover over item to see description) Item Amount Rate Leather 2 - 3 100% Ice Organ 2 - 5 100%
Beakon,73,Rare,https://palworld.gg/pal/beakon,Beakon,Electricity,105,80,100,100,115,7490,160,100,750,1200,100,Gathering (Lv); Cooling; Deforesting; Kindling; Generating Electricity (Lv); Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering,"Thunderous
Can be ridden as a flying mount.
Changes the player's attack type to COMMON_ELEMENT_NAME_Electricity while mounted.",,"Air Cannon
- Lv 1
Power:
25
Cooldown:
2
Range:
500 - 4000
Quickly fires a burst of highly pressurized air.
Spark Blast
- Lv 7
Power:
30
Cooldown:
2
Range:
500 - 5000
Releases lightning orbs in a fan shape, 
spreading as they travel.
Shockwave
- Lv 15
Power:
40
Cooldown:
4
Range:
0 - 300
Quickly discharges electricity,
shocking those around it.
Lightning Streak
- Lv 22
Power:
75
Cooldown:
16
Range:
500 - 2000
Generates a lightning bolt 
that moves forward in a line.
Lightning Dive
- Lv 26
Power:
80
Cooldown:
12
Range:
500 - 1500
ThunderBird's exclusive skill.
First, it strikes the enemy's location with lightning. 
Then, while gliding forward, it drops lightning to the left and right.
Tri-Lightning
- Lv 30
Power:
90
Cooldown:
22
Range:
0 - 9999
Generates lightning that strikes
an enemy three times from above.
Sand Tornado
- Lv 40
Power:
80
Cooldown:
18
Range:
100 - 3000
Generates two sand tornadoes on either side
before launching them at an enemy.
Lightning Bolt
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 3000
Charges electric energy before
blasting enemies with a powerful shock.",(hover over item to see description) Item Amount Rate Electric Organ 1 - 2 100%
Beegarde,50,Common,https://palworld.gg/pal/beegarde,Beegarde,Leaf,80,90,100,100,90,1880,100,100,450,550,125,Gathering (Lv); Cooling; Deforesting (Lv); Kindling; Generating Electricity; Handiwork (Lv); Mining; Farming (Lv); Oil Extracting; Medicine Production (Lv); Planting (Lv); Transporting (Lv); Watering,"Worker Bee
Sometimes drops Honey when
assigned to MonsterFarm.
While in team, QueenBee's stats will be increased.",,"Air Cannon
- Lv 1
Power:
25
Cooldown:
2
Range:
500 - 4000
Quickly fires a burst of highly pressurized air.
Wind Cutter
- Lv 7
Power:
30
Cooldown:
2
Range:
500 - 5000
Fires a high speed blade of wind
that flies straight at an enemy.
Needle Spear
- Lv 11
Power:
55
Cooldown:
7
Range:
0 - 2000
SoldierBee's exclusive skill.
Charges at the enemy at high speed, delivering a final thrust with a spear.
Bee Quiet
- Lv 15
Power:
250
Cooldown:
55
Range:
0 - 1000
Risks its life to cause a violent explosion, 
but receives the honor of falling in battle.
Poison Blast
- Lv 22
Power:
30
Cooldown:
2
Range:
500 - 3000
Hurls poison sludge
at an enemy.
Acid Rain
- Lv 30
Power:
80
Cooldown:
18
Range:
100 - 1000
Creates acidic clouds that
pour down acid rain on enemies.
Grass Tornado
- Lv 40
Power:
80
Cooldown:
18
Range:
700 - 3000
Generates two tornadoes on either side 
before launching them at an enemy.
Solar Blast
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 1800
Charges solar energy before
blasting enemies with a powerful beam.",(hover over item to see description) Item Amount Rate Honey 1 - 2 100%
Bellanoir,112,Legendary,https://palworld.gg/pal/bellanoir,Bellanoir,Dark,120,100,100,100,150,10030,100,100,600,800,100,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork (Lv); Mining; Farming; Oil Extracting; Medicine Production (Lv); Planting; Transporting (Lv); Watering,"Nightmare Iris
When activated, attacks targeted enemy with a
powerful Unique_NightLady_WarpBeam_Straight.",,"Dark Cannon
- Lv 1
Power:
50
Cooldown:
2
Range:
500 - 5000
Hurls an energy ball imbued
with dark energy at an enemy.
Umbral Surge
- Lv 7
Power:
40
Cooldown:
2
Range:
500 - 5000
Fires high-speed dark orbs in a fan shape, 
spreading as they travel.
Dark Arrow
- Lv 15
Power:
65
Cooldown:
10
Range:
500 - 5000
Fires off dark energy
that homes in on an enemy.
Spirit Flame
- Lv 22
Power:
75
Cooldown:
16
Range:
500 - 5000
Fires three balls of malice
that relentlessly pursue an enemy.
Nightmare Ball
- Lv 30
Power:
100
Cooldown:
30
Range:
1000 - 9999
Creates a giant ball of darkness
and hurls it at an enemy.
Apocalypse
- Lv 40
Power:
110
Cooldown:
55
Range:
100 - 9999
Generates several dark vortexes around the enemy.
Nightmare Ray
- Lv 50
Power:
140
Cooldown:
50
Range:
0 - 9999
NightLady's exclusive skill.
Disappears suddenly, then reappears while firing a barrage of beams.",
